band,bucket,size,dominant_portal,dominant_portal_count
42,f5985a2157c8a08b,1,P001,1
43,1533663ccea3c707,1,P001,1
44,5b8c687ac13796e2,1,P001,1
45,6ceb115b93200f6b,1,P001,1
46,cbd41624d3d30fb9,1,P001,1
47,a710d1509693f19f,1,P001,1
0,4c011d2d09765fc7,1,P053,1
1,75fbedb4025b76be,1,P053,1
2,c623c80caa7b253c,1,P053,1
3,88d6771a5f025a13,1,P053,1
4,11907e7714490f20,1,P053,1
5,6e398657b0f835db,1,P053,1
6,16c2396537e2198d,1,P053,1
7,83cbf8c9b0f3d6f5,1,P053,1
8,27a2bbc04102b793,1,P053,1
9,fd10295653381f9c,1,P053,1
10,77b3f121ec7e2464,1,P053,1
11,30a807b8c5bcca50,1,P053,1
12,852f83aa496dc6ff,1,P053,1
13,bb52011d9b35b3e1,1,P053,1
14,3fc9b5b856a7a146,1,P053,1
15,6f2b28eda3faa8df,1,P053,1
16,5929026740c1cac4,1,P053,1
17,3199af5b299cf85e,1,P053,1
18,a7a3e10613a2f2c7,1,P053,1
19,963ef876409fe2d0,1,P053,1
20,a35a3bac3d5aafd1,1,P053,1
21,eb2f68db5926cd6a,1,P053,1
22,0e4ec2010dbf8ac4,1,P053,1
23,34efa25c30e865f3,1,P053,1
24,1fa3a30751667bd6,1,P053,1
25,2cedd252eab12098,1,P053,1
26,c8eb08b9bb4cd5d0,1,P053,1
27,0805b197bfe47339,1,P053,1
28,2b9a22d0b07054cd,1,P053,1
29,837672c9a6b3e2dc,1,P053,1
30,1c7ec9414388b196,1,P053,1
31,3296c71937276f4a,1,P053,1
32,ddedad85ba731809,1,P053,1
33,8233c937f6032c4a,1,P053,1
34,e74928eeb6141ff2,1,P053,1
35,9a54072e7bb8fb8c,1,P053,1
36,1d4e9671443f25dc,1,P053,1
37,5fea0ab208a8e0bb,1,P053,1
38,fb717c1b7c724005,1,P053,1
39,e4934434b7106a02,1,P053,1
40,75705bafbdf20aff,1,P053,1
41,3c1077122a370f1f,1,P053,1
42,ee74c2580dd62318,1,P053,1
43,bb79529a85831e4f,1,P053,1
44,e7f4a31dba3ceca7,1,P053,1
45,bc8d59918d525313,1,P053,1
46,a407060995837670,1,P053,1
47,54403346f9ec787b,1,P053,1
0,4c90a0c3b844e2af,1,P002,1
1,3acaa1a75ae420a1,1,P002,1
2,239d58a31bc014ef,1,P002,1
3,1bba46db22d6d0b5,1,P002,1
4,ec95bb6984c8e78d,1,P002,1
5,5e605fc9ac77ba46,1,P002,1
6,465001ab5a064d70,4,P002,1
7,0671ff6d81490cc4,1,P002,1
8,468556133ac30c5f,1,P002,1
9,594c720bc2a4673d,1,P002,1
10,610c125e9d81c32b,1,P002,1
11,812b870115e6a1b7,63,P001,28
